name,latitude,longitude
Konstantinopolis Kuşatması (717-718),41.025776,28.9741304
Konstantinopolis'in Yağmalanması,41.0385746,28.9405573
Mahmut Bey Çeşmesi,40.9696434,29.109356
15 Temmuz Darbe Girişiminin başlangıç ​​noktası,41.0510031,29.0282822
Validebağ Su Terazisi,41.0170792,29.0436556
Salih Çavuş Konutu,41.1125794,29.0899346
Belgrad Kapı,40.9998307,28.9204773
Lausos Sarayı'nın Kalıntıları,41.007586,28.9755539
Polonezköy Ağaç Oyma Heykel Sergisi,41.1098409,29.2111389
Fulham Park Cistern,41.0137644,28.9817985
Tarihi Hasanderesi Köprüsü,41.0620171,28.7567958
Atatürk ve İnönü Heykeli,40.979182,29.0562094
Abu Ayb Al Ansari,41.0482228,28.9335266
Muhammad Harrani,41.0499278,28.933676
Muhammad Al Fatih,41.0192911,28.9502782
Muhammad Uthman Sirajuddin Nakshbandi,41.0648204,28.6189573
Muhammad Amin Tokadi,41.0200281,28.9581164
Abul Vefa,41.0168197,28.9594706
Sırrı Süreyya Önder,41.0747102,29.0135605
Gülhane Parkı Sarnıcı,41.0138793,28.9817057
Altın Tepe Tümülüsü,41.0955836,28.1139305
ev2,41.0602107,28.382913
Zamba Oyuncak Müzesi,41.0459991,29.2684019
Yolçatı Höyüğü,41.1335548,28.1288516
Tümülüs,41.110842,28.1126176
Çeltik Höyüğü,41.1072518,28.1286626
Karaburun Günbatımı Terası,41.3461912,28.6820028
Yusuf Aşkin sok.,41.0034842,28.970825
Atatürk Havalimanı,41.0602751,28.9487438
TBMM,41.0594071,28.9490986
Anıtkabir,41.0595414,28.9491213
Aspendos,41.0593243,28.9486774
