Mekan_Adi,Enlem,Boylam,Kategori
İnadiye Çeşmesi,41.0168678,29.0182018,Turistik Yer
PTT Müzesi,41.0147153,28.9738991,Turistik Yer
Gate of Rhegion,41.014097,28.92199,Turistik Yer
Cebeci Köyü Rum Kilisesi Kalıntıları,41.1223229,28.8837706,Turistik Yer
Nişan Taşı,41.051731,28.9915153,Turistik Yer
Bathonea Arkeolojik Kazı Alanı,41.0329087,28.7337663,Turistik Yer
Fildamı,40.9930736,28.8861061,Turistik Yer
Dragos Arkeolojik Kazı Alanı,40.9031308,29.1511392,Turistik Yer
Şerife Bacı Anıtı,41.115819,28.9981836,Turistik Yer
Beyazit Kulesi,41.0113939,28.9646825,Turistik Yer
Istiklâl Caddesi,41.0346417,28.9801102,Turistik Yer
Türk Eczacılık Tarihi İhtisas Müzesi,41.0108493,28.9631157,Turistik Yer
İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,41.0098561,28.9601156,Turistik Yer
Bizans Zindanları,40.8650138,28.9930175,Turistik Yer
Henry Bulwer Şatosu,40.8647943,28.9957822,Turistik Yer
Geriye Kalanlar,40.8652275,28.9954466,Turistik Yer
Açık Hava Sergisi,40.8644833,28.9949006,Turistik Yer
Nakkaş Sarnıcı,41.0041016,28.9751527,Turistik Yer
İslambey Çeşmesi,41.0514574,28.9267588,Turistik Yer
Ahmet Hulusi Dörtışık Hayratı,41.0526884,28.9194951,Turistik Yer
Hasan Rıza Paşa Çeşmesi,41.0523275,28.9157172,Turistik Yer
Korugan 29,41.3065035,28.5293046,Turistik Yer
Korugan 26,41.3040645,28.5260578,Turistik Yer
Korugan 32,41.3180905,28.5340275,Turistik Yer
Korugan 23,41.3011676,28.5159078,Turistik Yer
Korugan 19,41.2740964,28.5121983,Turistik Yer
Alaiye Anıtı,41.2738333,28.5131693,Turistik Yer
Korugan 234,41.2856674,28.509551,Turistik Yer
Korugan 233,41.2862216,28.5089877,Turistik Yer
Korugan 235,41.2852864,28.5099949,Turistik Yer
Korugan 236,41.2844258,28.50972,Turistik Yer
Korugan 252,41.2526039,28.5163558,Turistik Yer
Korugan 30,41.2518024,28.5294369,Turistik Yer
Korugan 253,41.2514343,28.5215914,Turistik Yer
Korugan 247,41.2492383,28.5195999,Turistik Yer
Korugan 248,41.2494732,28.5175842,Turistik Yer
Korugan 249,41.2497626,28.5173683,Turistik Yer
Korugan 251,41.2457646,28.5117477,Turistik Yer
Korugan 245,41.2610556,28.514607,Turistik Yer
Korugan 21,41.2611746,28.5139069,Turistik Yer
Korugan 15,41.2624468,28.5086444,Turistik Yer
Korugan 240,41.2550529,28.5017002,Turistik Yer
Korugan 12,41.2555349,28.5060655,Turistik Yer
Korugan 11,41.2583064,28.5052782,Turistik Yer
Korugan 10,41.2585241,28.5054727,Turistik Yer
Mermer Anıtı,40.986962,29.0525299,Turistik Yer
Jet Uçağı Anıtı,40.9853863,29.0541508,Turistik Yer
Colorful houses,41.029576,28.9476317,Turistik Yer
Çulsuz'un Yeri,41.2992017,28.1221174,Turistik Yer
Illusion Museum,41.02917,28.9749298,Turistik Yer
Lefter Heykeli,40.9871874,29.0341115,Turistik Yer
ARTER,41.0408994,28.9787641,Turistik Yer
tab ilaç,41.0721481,28.6298674,Turistik Yer
Kartal Çeşmesi,40.8900039,29.1871152,Turistik Yer
Zeynep Hanım Çeşmesi,40.91703,29.2234299,Turistik Yer
Çözüm Noktasi,41.0363872,28.9843486,Turistik Yer
Rainbow stairs,41.0165894,28.9666757,Turistik Yer
Çantaköy Tümülüsü 2,41.1111664,28.0675176,Turistik Yer
Orhan Kemal Müzesi,41.0305186,28.9836008,Turistik Yer
Cumaa Bazaar,41.0110937,28.9404273,Turistik Yer
Kâğıthane Belediyesi Şehir Müzesi,41.0810779,28.9722841,Turistik Yer
Erenköy Station Fountain,40.9739147,29.0754164,Turistik Yer
Yoğurtçu Çeşmesi,40.983629,29.0332419,Turistik Yer
Sait Faik Abasıyanık Museum,40.8810298,29.0674547,Turistik Yer
İsmet İnönü House Museum,40.8781563,29.0935365,Turistik Yer
Üsküp Saat Kulesi,41.0316657,28.9101915,Turistik Yer
Müze Girişi,41.0352023,29.0708351,Turistik Yer
Yıldız Clock Tower,41.0498637,29.0097995,Turistik Yer
Dervişkapı Germesi Kalıntıları,41.3401596,28.3027031,Turistik Yer
Ballıgerme Su kemer,41.3480864,28.2894756,Turistik Yer
Gümüşpınar Germesi,41.3394205,28.290729,Turistik Yer
Mustafa Kemal Atatürk,41.0672216,29.0432167,Turistik Yer
Vodina Caddesi,41.0303242,28.9500978,Turistik Yer
Kiremit Caddesi,41.0295336,28.9476369,Turistik Yer
Topkapi Sarayı,41.011344,28.9832034,Turistik Yer
Merdıvenli Yokuş,41.0312533,28.9462049,Turistik Yer
İçerenköy Kavşağı Heykeli,40.9717768,29.1083884,Turistik Yer
Ulus Parki,41.064028,29.0320536,Turistik Yer
Yıldız Parkı,41.0468738,29.0174847,Turistik Yer
Kuzguncuk Bostani,41.0346796,29.0316292,Turistik Yer
Otağtepe Fatıh Korusu,41.089864,29.0696067,Turistik Yer
Sultan 1.Mahmut Çeşmesi,41.0738466,29.0585462,Turistik Yer
Hababam Sınıfı Müzesi,41.0136158,29.0419533,Turistik Yer
Can Bartu heykeli,40.9872304,29.0341218,Turistik Yer
Silivrikapı Hypogeum,41.0066029,28.9219004,Turistik Yer
Şah Anıtı,41.1050457,28.850758,Turistik Yer
Sancaktepe Saat Kulesi,40.9855982,29.2296721,Turistik Yer
Taâvün Çeşmesi,41.0511855,28.9224391,Turistik Yer
X Media Art Müsesi,40.993222,29.1253363,Turistik Yer
Yerebatan Sarnıcı,41.0084795,28.9783826,Turistik Yer
Modern saat Kulesi,40.8265677,29.325352,Turistik Yer
1923,41.0258266,29.0094982,Turistik Yer
Ay bike sokagi,41.0903351,29.003977,Turistik Yer
Çoban Çeşmesi,40.993706,28.8194808,Turistik Yer
İSKİ Terkos Su Medeniyetleri Müzesi,41.3007516,28.6735305,Turistik Yer
Hazzopulo Pasajı,41.0333902,28.9760307,Turistik Yer
Sohum Kalesi Kitâbesi,41.0123834,28.9840355,Turistik Yer
IBB Çubuklu Silolar,41.1088724,29.0828543,Turistik Yer
Ayasofya Tarih ve Deneyim Müzesi,41.0064549,28.9753667,Turistik Yer
Elephant,41.1791526,29.6220333,Turistik Yer
Kayışdağı Suyu Çeşmesi,40.9802988,29.077375,Turistik Yer
Ara Güler Müzesi,41.0583124,28.9803794,Turistik Yer
Rumeli Han туннель,41.0350636,28.9808937,Turistik Yer
Su Havuzu,41.0918277,28.9044202,Turistik Yer
Ağva Feneri,41.140838,29.8513446,Turistik Yer
Ayvat Bendi Tabiat Parkı,41.1969538,28.9198767,Turistik Yer
Mısırlı Hatice Hanım Çeşmesi,41.1761619,29.6101176,Turistik Yer
Hüseyin Rahmi Gürpınar,40.8765193,29.1008982,Turistik Yer
Fethiye Müzesi,41.0292105,28.946518,Turistik Yer
Dolmabahçe Saat Müzesi,41.0376899,28.9963411,Turistik Yer
15 Temmuz'da Tankın Altında Kalan Araç,41.0463297,28.9329086,Turistik Yer
Mavi Marmara Anıtı,41.0954254,28.8785158,Turistik Yer
İBB Bakırköy Ödünç Kütüphane,40.9809416,28.8743693,Turistik Yer
